assembly_accession	species	subsp	strain
GCF_013407825.1	Klebsiella pneumoniae		101-17
GCF_013407965.1	Klebsiella pneumoniae		97-17
GCF_013408125.1	Klebsiella pneumoniae		95-17
GCF_013408255.1	Klebsiella pneumoniae		90-17
GCF_013408385.1	Klebsiella pneumoniae		89-17
GCF_013408505.1	Klebsiella pneumoniae		83-17
GCF_013408625.1	Klebsiella pneumoniae		74-17
GCF_013408755.1	Klebsiella pneumoniae		46-16
GCF_013409055.1	Klebsiella pneumoniae		5-16
GCF_013409165.1	Klebsiella pneumoniae		1-16
GCF_013416035.1	Klebsiella pneumoniae		11KM256
GCF_013416055.1	Klebsiella pneumoniae		06KM907
GCF_013416085.1	Klebsiella pneumoniae		19KM267
GCF_013416105.1	Klebsiella pneumoniae		19KM1053
GCF_013416125.1	Klebsiella pneumoniae		19KM1109
GCF_013423825.1	Klebsiella pneumoniae		ZZW20
GCF_013426775.1	Klebsiella pneumoniae		KAM260
GCF_013611495.1	Klebsiella pneumoniae		RHBSTW-00472
GCF_013694405.1	Klebsiella pneumoniae		Kp46596
GCF_013694425.1	Klebsiella pneumoniae		Kp46564
GCF_013704985.1	Klebsiella pneumoniae		RHBSTW-00574
GCF_013706045.1	Klebsiella pneumoniae		RHBSTW-00405
GCF_013707355.1	Klebsiella pneumoniae		RHBSTW-00184
GCF_013708685.1	Klebsiella pneumoniae		RHBSTW-00001
GCF_013724605.1	Klebsiella pneumoniae		RHBSTW-00973
GCF_013729075.1	Klebsiella pneumoniae		RHBSTW-00867
GCF_013730675.1	Klebsiella pneumoniae		RHBSTW-00852
GCF_013731305.1	Klebsiella pneumoniae		RHBSTW-00843
GCF_013731735.1	Klebsiella pneumoniae		RHBSTW-00832
GCF_013734035.1	Klebsiella pneumoniae		RHBSTW-00636
GCF_013735155.1	Klebsiella pneumoniae		RHBSTW-00610
GCF_013735895.1	Klebsiella pneumoniae		RHBSTW-00515
GCF_013736155.1	Klebsiella pneumoniae		RHBSTW-00510
GCF_013737695.1	Klebsiella pneumoniae		RHBSTW-00433
GCF_013745295.1	Klebsiella pneumoniae		RHBSTW-00807
GCF_013782105.1	Klebsiella pneumoniae		RHBSTW-00995
GCF_013783245.1	Klebsiella pneumoniae		RHBSTW-00982
GCF_013791265.1	Klebsiella pneumoniae		RHBSTW-00128
GCF_013792545.1	Klebsiella pneumoniae		RHBSTW-00113
GCF_013796245.1	Klebsiella pneumoniae		RHBSTW-00066
GCF_013796485.1	Klebsiella pneumoniae		RHBSTW-00062
GCF_013805705.1	Klebsiella pneumoniae		RHB39-C24
GCF_013811445.1	Klebsiella pneumoniae		RHB39-C10
GCF_013811845.1	Klebsiella pneumoniae		RHB39-C09
GCF_013813035.1	Klebsiella pneumoniae		RHB38-C06
GCF_013826045.1	Klebsiella pneumoniae		RHB30-C05
GCF_013834745.1	Klebsiella pneumoniae		RHB26-C08
GCF_013895695.1	Klebsiella pneumoniae		RHB16-C24
GCF_014041505.2	Klebsiella pneumoniae		WCHKP090374
GCF_014041645.2	Klebsiella pneumoniae		WCHKP090361
GCF_014041735.2	Klebsiella pneumoniae		WCHKP090357
GCF_014041845.2	Klebsiella pneumoniae		WCHKP090329
GCF_014168575.1	Klebsiella pneumoniae		WP2-S17-ESBL-02
GCF_014168655.1	Klebsiella pneumoniae		WP2-W18-ESBL-06
GCF_014169335.1	Klebsiella pneumoniae		WP5-S18-ESBL-02
GCF_014170015.1	Klebsiella pneumoniae		IDR1800050501-01-02
